Year	UG	GR	PD	Total
2001	24	40	41	105
2002	51	75	78	204
2003	54	89	81	224
2004	46	100	69	215
2005	29	53	64	146
2007	23	47	43	113
2008	50	89	75	214
2009	47	84	84	215
2010	36	46	41	123
2011	33	46	65	144
2012	37	61	86	184
2013	60	94	93	247
2014	55	61	43	159
2015	47	53	43	143
2016	61	46	36	143
2017	67	66	54	187
2018	65	65	55	185
2019	63	69	45	177
2020	63	67	52	182
2021	55	46	36	137
2022	98	80	52	230
