Name	BIBCode	Title	PubInfo	Citations	date
Gonzalez, Marjorie Emily	2007PhDT.......179G	X-ray observations of young neutron stars	ProQuest Dissertations And Theses; Thesis (Ph.D.)--McGill University (Canada), 2007.; Publication Number: AATNR48034; ISBN: 9780494480342; Source: Dissertation Abstracts International, Volume: 70-04, Section: B, page: 2346.; 163 p.	0	2007
Gregory, Scott G.	2007PhDT.......214G	T Tauri stars : mass accretion and X-ray emission	PhD Thesis, University of St Andrews, 2007	0	2007
Wiersema, K.	2007PhDT.......224W	Delving into the dragons den : the host galaxies of gamma-ray bursts	Ph.D. Thesis, Astronomical Institute Anton Pannekoek, University of Amsterdam, The Netherlands, 2007. Advisor: R.A.M.J. Wijers	0	2007
Rafferty, David A.	2007PhDT.......232R	Feedback in cluster cores	PhD Thesis, Ohio University, 2007	0	2007
Rzepecki, Jaroslaw P.	2007PhDT.......237R	On the inversion methods of strong gravitational lensing	PhD Thesis, Heidelberg University, 2007	0	2007
Wiersema, Klaas	2007PhDT.......240W	Delving into the dragon&rsquo;s den: the host galaxies of gamma-ray bursts	PhD Thesis, University of Amsterdam, 2007	0	2007
Hui, Chung Yue	2007PhDT.......302H	X-ray observations of neutron stars with XMM-Newton &amp;amp; Chandra	PhD Thesis, LMU Munich, 2007	0	2007
Cackett, Edward M.	2007PhDT.......326C	Compact objects in active galactic nuclei and X-ray binaries	PhD Thesis, University of St Andrews, 2007	0	2007
Civano, Francesca Marie	2007PhDT.......346C	A high energy perspective of the co-evolution of black holes and their host galaxies	PhD Thesis, University of Bologna, 2007	0	2007
Kraev, Urmila Mitra	2007PhDT.......450K	Flares on active M-type stars observed with XMM-Newton and Chandra	ProQuest Dissertations And Theses; Thesis (Ph.D.)--University of London, University College London (United Kingdom), 2007.; Publication Number: AAT U592162; ISBN: 9781303357497; Source: Dissertation Abstracts International, Volume: 73-03, Section: C, page: 0000.; 144 p.	0	2007
Tilak, Avanti	2007PhDT.........1T	Constraints on jets and accretion disks in low luminosity radio galaxies	PhD Thesis, Proquest Dissertations And Theses 2007. Section 0098, Part 0606 253 pages; [Ph.D. dissertation].United States -- Maryland: The Johns Hopkins University; 2007. Publication Number: AAT 3240805. Source:           DAI-B 67/11, May 2007	1	2007
Hessels, Jason William Thomas	2007PhDT........28H	Discovery and study of exotic radio pulsars	Proquest Dissertations And Theses 2007. Section 0781, Part 0606 208 pages; [Ph.D. dissertation].Canada: McGill University (Canada); 2007. Publication Number: AAT NR32194. Source: DAI-B 68/10, Apr 2008	1	2007
Kilgard, Roy E.	2007PhDT.......276K	The X-ray Point Source Population of Spiral and Star-forming Galaxies.	Thesis (Ph.D.)-- University of Leicester, 2007. Advisor: Ward, Martin	1	2007
Brenneman, Laura West	2007PhDT........38B	A spectral survey of black hole spin in active galactic nuclei	Proquest Dissertations And Theses 2007.  Section 0117, Part 0606 211 pages; [Ph.D. dissertation].United States -- Maryland: University of Maryland, College Park; 2007. Publication Number: AAT 3301666. Source:           DAI-B 69/02, p. 1050, Aug 2008	2	2007
Eckart, Megan Elizabeth	2007PhDT........71E	Measurements of X-ray selected AGN and novel superconducting X-ray detectors	Thesis (Ph.D.)-- [California Institute of Technology], %[2007]. Advisor: [Harrison, Fiona]	2	2007
