Name	BIBCode	Title	PubInfo	Citations	date
Hicks, A. K.	2005PhDT.........7H	Multiwavelength studies of cluster evolution from z [Tilde] 1 to the present	Ph.D dissertation, 2005.  Section 0051, Part 0606 171 pages; United States -- Colorado: University of Colorado at Boulder; 2005. Publication Number: AAT 3190345. DAI-B 66/09, Mar 2006	1	2005
McCarthy, Ian G.	2005PhDT.........8M	Probing the physics of the intracluster medium	Ph.D dissertation, 2005.  Section 0244, Part 0606 241 pages; Canada: University of Victoria (Canada); 2005. Publication Number: AAT NR07057. DAI-B 66/10, Apr 2006	1	2005
Nagai, Daisuke	2005PhDT.........9N	The impact of galaxy formation on the Sunyaev-Zeldovich effect of galaxy clusters	Ph.D dissertation, 2005.  39 pages; United States -- Illinois: The University of Chicago; 2005. Publication Number: AAT 3181388. DAI-B 66/07, p. 3754, Jan 2006	1	2005
Rogel, Allen B.	2005PhDT........14R	The ChaMPlane project: Spectroscopic followup and theoretical modeling	Ph.D dissertation, 2005.  154 pages; United States -- Indiana: Indiana University; 2005. Publication Number: AAT 3183483. DAI-B 66/08, p. 4273, Feb 2006	1	2005
Yang, Yuxuan	2005PhDT.........1Y	A deep X-ray survey of the Lockman Hole Northwest	Ph.D. dissertation.United States -- Maryland: University of Maryland, College Park; 2005. Publication Number: AAT 3183544.243 pages; DAI-B 66/07, p. 3755, Jan 2006	11	2005
Steenbrugge, Katrien Christine	2005PhDT........40S	High-resolution X-Ray spectral diagnostics of Active Galactic Nuclei	PhD Thesis, Leiden University, 2005	0	2005
Randall, Scott William	2005PhDT........11R	Processes affecting the dynamics and x-ray emission of galaxies and clusters of galaxies	Ph.D dissertation, 2005.  181 pages; United States -- Virginia: University of Virginia; 2005. Publication Number: AAT 3149211. DAI-B 65/10, p. 5191, Apr 2005	0	2005
Dai, Xinyu	2004PhDT.........1D	An X-ray study of gravitational lenses	Ph.D., The Pennsylvania State University, 2004, 111 pages; AAT 3157658	0	2004
Mirabal, Nestor Rafael	2004PhDT........13M	On gamma-ray burst progenitors and environments	Thesis (PhD). COLUMBIA UNIVERSITY, Source DAI-B 65/07, p. 3500, Jan 2005, 164 pages., 2004	0	2004
Jordan, Andres	2004PhDT........15J	Studies of extragalactic globular clusters	Ph.D dissertation, 2004.  112 pages; United States -- New Jersey: Rutgers The State University of New Jersey - New Brunswick; 2004. Publication Number: AAT 3153585. DAI-B 65/11, p. 5778, May 2005	0	2004
Jim&eacute;nez Bail&oacute;n, Elena	2004PhDT.......102J	Formaci&oacute;n estelar en n&uacute;cleos de galaxias activas de baja luminosidad Formaci&oacute;n estelar en n&uacute;cleos de galaxias activas de baja luminosidad Star formation in the nuclei of acgtive galaxies of low luminosity;	PhD Thesis, Autonomous University of Madrid, 2004	0	2004
Gong, Donglai	2004PhDT.......165G	Quasar spectroscopy in UV and X-ray- probing the intergalactic medium using helium and oxygen	Thesis (Ph.D.)-- [Massachusetts Institute of Technology], [2004]. Advisor: [Scott M. Burles and Claude R. Canizares]	0	2004
Gomez, Haley Louise	2004PhDT.......180G	Origin and evolution of dust	PhD Thesis, University of Wales, Cardiff, 2004	0	2004
Waskett, Timothy	2004PhDT.......182W	X-ray observations of high redshift active galactic nuclei and galaxy clusters	PhD Thesis, University of Wales, Cardiff, 2004	0	2004
Kargalstev, Oleg	2004PhDT.......209K	X-ray and Optical Observations of Neutron Stars and Pulsar Wind Nebulae	PhD, Pennsylvania State University, 2004	0	2004
Paizis, Adamantia	2004PhDT.......214P	High energy emission from the galaxy : a study with &quot;INTEGRAL&quot; and &quot;Chandra&quot;&quot;	PhD Thesis, University of Geneva, 2004	0	2004
Cramphorn, Conrad Keith	2004PhDT.......314C	Astrophysical applications of scattering in interstellar and intracluster gases	PhD Thesis, LMU Munich, 2004	0	2004
K&ouml;rding, Elmar	2004PhDT.......569K	Jets from X-ray binaries to active galactic nuclei	PhD Thesis, University of Bonn, 2004	0	2004
Mercurio, A.	2004PhDT.........1M	Dynamical Evolution and Galaxy Populations in the Cluster ABCG 209 at z=0.2	PhD Thesis, Universit&agrave; di Trieste, 212 pages (astro-ph/0412077), 2004	2	2004
Kaplan, David L.	2004PhDT........13K	The diversity of neutron stars: Nearby thermally emitting neutron stars and the compact central objects in supernova remnants	Ph.D., California Institute of Technology, 2004, 263 pages; AAT 3203856	3	2004
Wang, Zhongxiang	2004PhDT.........8W	Multi wavelength studies of accretion disks around compact objects	Ph.D dissertation, 2004. United States -- Massachusetts: Massachusetts Institute of Technology; 2004. Publication Number: AAT 0807492. DAI-B 65/12, Jun 2005	14	2004
Heinke, Craig Owen	2004PhDT........11H	Understanding dim globular cluster X-ray sources	Thesis (PhD). HARVARD UNIVERSITY, Source DAI-B 65/05, p. 2451, Nov 2004, 360 pages.	2	2004
Jeltema, Tesla Erin	2004PhDT.........4J	Cosmology with clusters of galaxies: High-redshift clusters and the evolution of cluster substructure	Thesis (PhD). MASSACHUSETTS INSTITUTE OF TECHNOLOGY, Source DAI-B 65/04, p. 1908, Oct 2004,  pages.	0	2004
Juett, Adrienne Marie	2004PhDT........10J	X-ray spectroscopy of low-mass X-ray binaries	Thesis (PhD). MASSACHUSETTS INSTITUTE OF TECHNOLOGY, Source DAI-B 65/04, p. 1908, Oct 2004,  pages.	0	2004
Steffen, Aaron T.	2004PhDT........23S	A wide-field Chandra survey of the Lockman Hole	Thesis (PhD). THE UNIVERSITY OF WISCONSIN - MADISON, Source DAI-B 65/04, p. 1910, Oct 2004, 88 pages.	0	2004
Cheung, Chi C.	2004PhDT........11C	Studies of the kilo-parsec scale radio and optical emission from X-ray jets in active galactic nuclei	Thesis (PhD). BRANDEIS UNIVERSITY, Source DAI-B 65/03, p. 1364, Sep 2004, 243 pages.	7	2004
Cannon, John Michael	2004PhDT.........3C	Starbursts in dwarf galaxies: A multiwavelength case study of NGC 625	Thesis (PhD). UNIVERSITY OF MINNESOTA, Source DAI-B 65/08, p. 4064, Feb 2005, 199 pages., 2004	1	2004
Hallman, Eric J.	2004PhDT.........4H	Observations and numerical simulations of large scale structure formation	Thesis (PhD). UNIVERSITY OF MINNESOTA, Source DAI-B 65/08, p. 4066, Feb 2005, 180 pages., 2004	1	2004
Silverman, John David	2004PhDT........14S	Cosmological evolution of X-ray emitting active galactic nuclei	Thesis (PhD). UNIVERSITY OF VIRGINIA, Source DAI-B 65/08, p. 4068, Feb 2005, 183 pages., 2004	2	2004
Ranalli, Piero	2004PhDT.......134R	High energy emission from starburst galaxies	PhD Thesis, University of Bologna, 2004	1	2004
Yao, Yangsen	2004PhDT.......427Y	Accretion disks in black hole X-ray binary systems	Thesis (PhD). THE UNIVERSITY OF ALABAMA IN HUNTSVILLE, Source DAI-B 65/01, p. 257, Jul 2004, 147 pages.	2	2004
Moon, Dae-Sik	2004PhDT........16M	Instrument development for high-speed infrared and optical photometry and observational studies of pulsars	Thesis (PhD). CORNELL UNIVERSITY, Source DAI-B 64/12, p. 6120, Jun 2004, 164 pages.	0	2004
Brusa, Marcella	2004PhDT.......237B	Physics and evolution ofobscured X&ndash;ray sources: a multiwavelength approach	PhD Thesis, University of Bologna, 2004	3	2004
Rasmussen, Jesper	2004PhDT........19R	X-ray Studies of Galaxies and Galaxy Systems	PhD Thesis, University of Copenhagen, 2004	0	2004
Naz&eacute;, Ya&euml;l	2004PhDT.........1N	Probing the interactions of early-type stars with their surroundings through X-ray and optical observations	PhD Thesis, University of Li&egrave;ge, Belgium, 2004	14	2004
Gendre, B.	2004PhDT.........1G	The study of the galactic globular cluster faint X-ray sources observed with XMM-Newton	PhD Thesis, Centre d&#39;&#39;Etude Spatiale des Rayonnements, 2004	0	2004
Bamba, Aya	2004PhDT........26B	A Detailed Spatial and Spectral Study of Synchrotron X-rays from Supernova Remnants with Chandra	Ph.D. thesis, Kyoto University Japan, 2004, ISAS research note 777	7	2004
Gonzalez, Marjorie	2003MsT..........1G	Chandra X-ray studies of the supernova remnants G292.0+1.8 and G292.2-0.5 containing the young pulsars J1124-5916 and J1119-6127	ProQuest Dissertations And Theses; Thesis (Ms.T.)-- The University of Manitoba (Canada), 2003. Publication number: AAT MQ89492 ISBN: &lt;ISBN&gt; 9780612894921 &lt;/ISBN&gt;. Advisor: Safi-Harb, Samar	0	2003
Edwards, Louise	2003MsT.........45E	Molecular hydrogen in the cooling flow cluster Abell 1795	ProQuest Dissertations And Theses; Thesis (Masters) - Saint Mary&#39;&#39;s University (Canada), 2003. Publication number: AAT MQ86574. ISBN: &lt;ISBN&gt; 9780612865747 &lt;/ISBN&gt;. Advisor: Marleau, Francine	0	2003
Filho, Mercedes E.	2003PhDT..........F	Nuclear activity in nearby galaxies	PhD Thesis, Groningen: Rijksuniversiteit, 2003	0	2003
Foellmi, C&eacute;dric	2003PhDT.........6F	Recherche syst&eacute;matique d&#39;&#39;etoiles binaires parmi les &eacute;toiles Wolf-Rayet de sous-type spectral WNE dans les Nuages de Magellan Recherche syst&eacute;matique d&#39;&#39;etoiles binaires parmi les &eacute;toiles Wolf-Rayet de sous-type spectral WNE dans les Nuages de Magellan Systematic search for binary stars among Wolf-Rayet stars of spectral subtype WNE in Magellanic Clouds;	Thesis (PhD). UNIVERSITE DE MONTREAL (CANADA), Source DAI-B 64/06, p. 2714, Dec 2003, 218 pages.	0	2003
Stage, Michael D.	2003PhDT........11S	Determinations of the radii, redshifts, and atmospheric compositions of neutron stars from modeling their Chandra X-ray spectra	Thesis (PhD). MASSACHUSETTS INSTITUTE OF TECHNOLOGY, Source DAI-B 64/06, p. 2716, Dec 2003,  pages.	0	2003
Knudson, Adam	2003PhDT........13K	X-ray luminosity evolution of normal galaxies	Ph.D., Carnegie Mellon University, 2003, 209 pages; AAT 3109879	0	2003
Butler, Nathaniel Richard	2003PhDT........16B	The first 2.5 years of the HETE : toward an understanding of the nature of short and long duration gamma-ray bursts	Ph.D., Massachusetts Institute of Technology, 2003; AAT 0805674	0	2003
Rakowski, Cara Elizabeth	2003PhDT........84R	X-ray studies of supernova remnants	ProQuest Dissertations And Theses; Thesis (Ph.D.)--Rutgers The State University of New Jersey - New Brunswick, 2003.; Publication Number: AAT3105490; ISBN: 9780496530571; Source: Dissertation Abstracts International, Volume: 64-09, Section: B, page: 4412.; 105 p.	0	2003
Filho, Mercedes Esteves	2003PhDT.......135F	Nuclear activity in nearby galaxies	PhD Thesis, University of Groningen, 2003	0	2003
Berendse, Frederick Benton	2003PhDT.......169B	Cosmic-ray acceleration in Cassiopeia A and grazing-incidence multilayer X-ray mirrors	ProQuest Dissertations And Theses; Thesis (Ph.D.)--University of Maryland, College Park, 2003.; Publication Number: AAT3112488; ISBN: 9780496600007; Source: Dissertation Abstracts International, Volume: 64-11, Section: B, page: 5560.; 275 p.	0	2003
Markowitz, Alex Gary	2003PhDT.......241M	Long time scale hard X-ray variability in Seyfert 1 galaxies	ProQuest Dissertations And Theses; Thesis (Ph.D.)--University of California, Los Angeles, 2003.; Publication Number: AAT3133062; ISBN: 9780496803026; Source: Dissertation Abstracts International, Volume: 65-05, Section: B, page: 2451.; 187 p.	0	2003
Schurch, Nicholas	2003PhDT.......332S	On the nature and role of absorption and continuum reprocessing in the X-ray spectra of obscured Seyfert galaxies	ProQuest Dissertations And Theses; Thesis (Ph.D.)--University of Leicester (United Kingdom), 2003.; Publication Number: AAT U601154; ISBN: 9781303545597; Source: Dissertation Abstracts International, Volume: 73-04, Section: C, page: 0000.; 146 p.	0	2003
Burleson, Jacob	2013MsT.........11B	The X-ray to far infrared luminosity ratio in Arp galaxies	ProQuest Dissertations And Theses; Thesis (M.S.)--The University of Alabama in Huntsville, 2013.; Publication Number: AAT 1537522; ISBN: 9781303086922; Source: Masters Abstracts International, Volume: 51-06.; 67 p., 2003	0	2013
Li, Jingqiang	2003PhDT.......262L	Sub-pixel event repositioning algorithms for Chandra X-ray astronomical imaging	PhD Thesis, Rochester Institute of Technology, 2003	2	2003
Schaudel, Daniel	2003PhDT.......385S	X-ray properties of galactic supernova remnants	PhD Thesis, LMU Munich, 2003	2	2003
Grimm, Hans-Jakob	2003PhDT.......188G	X-ray binaries in the Milky Way and other galaxies	Thesis (Ph.D.)-- [Ludwig-Maximilians-Universitat], [2003]. Advisor: [Sunyaev, Rashid]	3	2003
Seymour, Nick	2002PhDT........19S	Radio observations of the UK Deep X-ray Survey Area	Thesis (PhD). UNIVERSITY OF SOUTHAMPTON (UNITED KINGDOM), Source DAI-C 64/03, p. 704, Fall 2003, pages.	4	2002
Kinkhabwala, Ali Amir	2003PhDT.........8K	Ionic absorption and emission features in X-ray spectra of active galactic nuclei	Thesis (PhD). COLUMBIA UNIVERSITY, Source DAI-B 64/06, p. 2715, Dec 2003, 202 pages.	5	2003
Sipior, Michael Shawn	2003PhDT........21S	Population synthesis and its connection to astronomical observables	Ph.D., The Pennsylvania State University, 2003, 200 pages; AAT 3098248	8	2003
Athey, Alex Edward	2003PhDT.........5A	The origin and evolution of the interstellar medium in early-type galaxies	Thesis (PhD). UNIVERSITY OF MICHIGAN, Source DAI-B 64/06, p. 2713, Dec 2003, 272 pages.	18	2003
Lloyd, Don Anthony	2003PhDT........11L	Model atmospheres and spectra of cooling neutron stars	Thesis (PhD). HARVARD UNIVERSITY, Source DAI-B 64/05, p. 2228, Nov 2003, 163 pages.	7	2003
Mori, Kaya	2003PhDT.........9M	A theoretical and observational study of the X-ray spectroscopy of isolated neutron stars	Thesis (PhD). COLUMBIA UNIVERSITY, Source DAI-B 64/04, p. 1766, Oct 2003, 159 pages.	2	2003
Monnelly, Glen Pickslay	2002PhDT........25M	HETE, the High Energy Transient Explorer : unlocking the mysteries of gamma ray bursts	Thesis (PhD). MASSACHUSETTS INSTITUTE OF TECHNOLOGY, Source DAI-B 64/03, p. 1287, Sep 2003,  pages.	0	2002
Pooley, David Aaron	2003PhDT........19P	Very old and very young compact objects: X-ray studies of galactic globular clusters and recent core-collapse supernovae	Thesis (PhD). MASSACHUSETTS INSTITUTE OF TECHNOLOGY, Source DAI-B 64/03, p. 1288, Sep 2003,  pages.	2	2003
Hendrick, Sean Patrick	2003PhDT.........8H	Thermal and non-thermal contributions to the X-ray spectrum of Large Magellanic Cloud supernova remnants	Thesis (PhD). NORTH CAROLINA STATE UNIVERSITY, Source DAI-B 64/02, p. 763, Aug 2003, 176 pages.	2	2003
O&#39;&#39;Hara, Timothy Brian	2007PhDT.........7O	Studies of the structure and evolution of the intracluster medium	Proquest Dissertations And Theses 2007.  Section 0090, Part 0606 124 pages; [Ph.D. dissertation].United States -- Illinois: University of Illinois at Urbana-Champaign; 2007. Publication Number: AAT 3301205. Source:           DAI-B 69/02, Aug 2008, 2003	1	2007
Boschin, W.	2003PhDT.........1B	Searching for galaxy clusters in X-ray and optical sky surveys	Ph.D. Thesis, Universita&#39;&#39; di Trieste (Italy), 2003	1	2003
Cornelisse, R.	2003PhDT.......223C	A wide field view of the population of X-ray bursters in the Galaxy	Ph.D. Thesis, University Utrecht, The Netherlands, 2003	0	2003
Braje, Timothy Matthew	2002PhDT........24B	Constraining neutron star radii and the equation of state: Light curves and spectra	Thesis (PhD). STANFORD UNIVERSITY, Source DAI-B 63/10, p. 4721, Apr 2003, 94 pages., 2002	0	2002
Kempner, Joshua Cal	2002PhDT........29K	Thermal and nonthermal effects in merging clusters of galaxies	Thesis (PhD). UNIVERSITY OF VIRGINIA, Source DAI-B 63/08, p. 3756, Feb 2003, 153 pages., 2002	0	2002
O&#39;&#39;Sullivan, Ewan	2002PhDT........43O	X-ray properties of early-type galaxies	PhD Thesis, University of Birmingham, 2002	0	2002
Morales, Raquel	2002PhDT.......280M	The warm absorber as a probe of the AGN environment	PhD Thesis, University of Cambridge, 2002	0	2002
Gallagher, Sarah Connoran	2002PhDT.........7G	The view through the wind: X-ray observations of broad absorption line quasi-stellar objects	Thesis (PhD). THE PENNSYLVANIA STATE UNIVERSITY, Source DAI-B 63/07, p. 3329, Jan 2003, 123 pages., 2002	1	2002
Paolillo, Maurizio	2002PhDT.........7P	X-ray Emission from Early-Type Galaxies in Groups and Poor Clusters	Thesis (PH.D.)--Universita&#39;&#39; di Palermo, ITALY, 2002	1	2002
Michael, Eli Newton	2002PhDT........20M	The structure and development of supernova remnant 1987A	Thesis (PhD). UNIVERSITY OF COLORADO AT BOULDER, Source DAI-B 63/06, p. 2874, Dec 2002, 195 pages.	1	2002
Spitkovsky, Anatoly	2002PhDT........36S	Pulsar winds and other burning questions of astrophysics	Thesis (PhD). UNIVERSITY OF CALIFORNIA, BERKELEY, Source DAI-B 64/02, p. 766, Aug 2003, 148 pages., 2002	1	2002
Smith, Graham Peter	2002PhDT.......359S	Gravitational lensing by X-ray luminous galaxy clusters	PhD Thesis, Durham University, 2002	4	2002
Liu, Siming	2002PhDT........13L	Accretion processes around supermassive black holes	Thesis (PhD). THE UNIVERSITY OF ARIZONA, Source DAI-B 63/08, p. 3756, Feb 2003, 198 pages., 2002	6	2002
Miller, Jon Matthew	2002PhDT........21M	X-ray spectroscopic and timing studies of galactic black hole binaries	Thesis (PhD). MASSACHUSETTS INSTITUTE OF TECHNOLOGY, Source DAI-B 64/03, p. 1287, Sep 2003,  pages., 2002	0	2002
Pfahl, Eric D.	2002PhDT........16P	The galactic population of binaries containing neutron stars	Thesis (PhD). MASSACHUSETTS INSTITUTE OF TECHNOLOGY, Source DAI-B 63/07, p. 3331, Jan 2003,  pages., 2002	0	2002
Hornschemeier, Ann Elizabeth	2002PhDT........18H	Chandra X-ray constraints on normal and starburst galaxies at cosmologically interesting distances	Thesis (PhD). THE PENNSYLVANIA STATE UNIVERSITY, Source DAI-B 63/05, p. 2423, Nov 2002, 234 pages.	0	2002
Mao, Peter Hsih-Jen	2002PhDT........14M	Hard X-ray observations of the extragalactic sky: The high energy focusing telescope and the serendipitous extragalactic X-ray source identification survey	Thesis (PhD). CALIFORNIA INSTITUTE OF TECHNOLOGY, Source DAI-B 63/05, p. 2424, Nov 2002, 92 pages.	2	2002
Miller, Nathan Andrew	2002PhDT........22M	Understanding the high-resolution X-ray spectra of early- type stars	Thesis (PhD). THE UNIVERSITY OF WISCONSIN - MADISON, Source DAI-B 63/07, p. 3331, Jan 2003, 153 pages., 2002	4	2002
Osten, Rachel Ann	2002PhDT.........3O	Multiwavelength observations of flares and variability in the coronae of active binary systems	Thesis (PhD). UNIVERSITY OF COLORADO AT BOULDER, Source DAI-B 63/02, p. 838, Aug 2002, 398 pages.	1	2002
Romano, Patrizia	2002PhDT........21R	Multi-wavelength study of narrow-line Seyfert 1 galaxies	Thesis (PhD). THE OHIO STATE UNIVERSITY, Source DAI-B 64/01, p. 249, Jul 2003, 218 pages., 2002	0	2002
Ness, Jan-Uwe	2002PhDT.........3N	High-resolution X-ray plasma diagnostics of stellar coronae	PhD Thesis, University of Hamburg, 2002	1	2002
Jimenez-Garate, Mario Alberto	2001PhDT........19J	The development of hard X-ray telescope optics and a theoretical model of X-ray emission from accretion disks	Thesis (PhD). COLUMBIA UNIVERSITY, Source DAI-B 62/10, p. 4588, Apr 2002, 298 pages., 2001	0	2001
Teter, Marcus Alton	2001PhDT........57T	Measuring surface temperature of isolated neutron stars and related problems	Ph.D., Montana State University, 2001, 125 pages; AAT 3030294	1	2001
Fox, David Charles	2001PhDT........90F	The structure of clusters of galaxies	ProQuest Dissertations And Theses; Thesis (Ph.D.)--Harvard University, 2001.; Publication Number: AAT3028387; ISBN: 9780493406640; Source: Dissertation Abstracts International, Volume: 62-10, Section: B, page: 4586.; 189 p.	1	2001
McLaughlin, Maura Ann	2001PhDT........14M	Multi-wavelength studies of rotation-driven pulsars	Thesis (PhD). CORNELL UNIVERSITY, Source DAI-B 62/07, p. 3232, Jan 2002, 326 pages., 2001	6	2001
Ransom, Scott Mitchell	2001PhDT.......123R	New search techniques for binary pulsars	ProQuest Dissertations And Theses; Thesis (Ph.D.)--Harvard University, 2001.; Publication Number: AAT3028434; ISBN: 9780493408415; Source: Dissertation Abstracts International, Volume: 62-10, Section: B, page: 4589.; 134 p.	246	2001
Roscherr, Bruce	2001PhDT.........7R	Select radiation transfer problems in astrophysics	Thesis (PhD). YALE UNIVERSITY, Source DAI-B 62/03, p. 1433, Sep 2001, 161 pages.	0	2001
Cottam, Jean	2001PhDT.......108C	The development of the Reflection Grating Spectrometer on board the XMM-Newton Observatory and its application to the study of accretion-powered sources	Ph.D., Columbia University, 2001, 150 pages; AAT 3028511	1	2001
Patel, Sandeep Kumar	2001PhDT.........5P	Sunyaev-Zel&#39;&#39;dovich effect and X-ray measurements of Abell 1995	Thesis (PhD). UNIVERSITY OF ALABAMA IN HUNTSVILLE, Source DAI-B 62/02, p. 899, Aug 2001, 91 pages.	1	2001
Sako, Masao	2001PhDT.........5S	X-ray spectroscopic studies of accretion-powered cosmic sources	Thesis (PhD). COLUMBIA UNIVERSITY, Source DAI-B 61/12, p. 6517, Jun 2001, 178 pages.	0	2001
Fang, Taotao	2001PhDT........48F	X-ray Absorption by the Intergalactic Medium	PhD, Massachusetts Institute of Technology, 2001, AAT 0803577	0	2001
Gotz, Martin	2000PhDT........96G	Studies in the origin of large-scale structure	Ph.D., Brown University, 2000, 110 pages; AAT 9987770	1	2000
Oh, Siang Peng	2000PhDT........36O	The first luminous objects	Ph.D., Princeton University, 2000, 156 pages; AAT 9981562	3	2000
Pivovaroff, Michael James	2000PhDT........85P	X-ray Astronomy with CCDs: Calibration of the Advanced CCD Imaging Spectrometer and Observations of Rotation-powered Pulsars	Ph.D., Massachusetts Institute of Technology, 2000; AAT 0802532	3	2000
Heinz, Sebastian	2000PhDT........10H	Beams, bursts, bubbles, and bullets: Relativistic outflows in astrophysics	Thesis (PhD). UNIVERSITY OF COLORADO AT BOULDER, Source DAI-B 61/07, p. 3643, Jan 2001, 188 pages., 2000	4	2000
Spodek, Joshua David	1999PhDT........41S	The X-ray observational satellite XMM, its spectrometer, and observations of supernova remnants	Thesis (PhD). COLUMBIA UNIVERSITY, Source DAI-B 60/10, p. 5116, Apr 2000, 205 pages., 1999	0	1999
Griffiths, Robert Gareth	1999PhDT.......245G	The broad-band X-ray spectra of heavily obscured AGN	ProQuest Dissertations And Theses; Thesis (Ph.D.)--University of Leicester (United Kingdom), 1999.; Publication Number: AAT U594557; ISBN: 9781303470523; Source: Dissertation Abstracts International, Volume: 73-04, Section: C, page: 0000.; 145 p.	1	1999
